	FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF	p0	p1	p2	p3	p4	p5	p0-1
0	0	id1	0	id3	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
1	0	id1	0	id4	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
2	0	id1	0	id5	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
3	0	id2	0	id3	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
4	0	id2	0	id4	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
5	0	id2	0	id5	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
6	0	id3	0	id5	FS	1.44953798006666e-120,0.999379714396915,0.000620285603084849,1.28561910370896e-16,2.10037199876922e-28,0	0.265	0.612	0.121	0.4282	-1	FS	0.3	1.44953798006666e-120	0.999379714396915	0.000620285603084849	1.28561910370896e-16	2.10037199876922e-28	0.0	0.999379714396915
7	0	id3	0	id7	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
8	0	id3	0	id8	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
9	0	id3	0	id9	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
10	0	id4	0	id11	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
11	0	id4	0	id12	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
12	0	id4	0	id13	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
13	0	id5	0	id15	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
14	0	id5	0	id16	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
15	0	id5	0	id17	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
16	0	id6	0	id7	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3	0.999488504078663	1.54522754683251e-18	0.000511495920936024	4.00956454211562e-13	4.17142302950887e-27	0.0	0.999488504078663
