0__F036378	0__F036391	0,1.08385635450331e-21,0.0386926080140745,0.638232978486774,0.229798496601089,0.0932759168980623	CGH	CGH	0.3
0__F001008	0__F036391	0,9.58432514155074e-06,0.918302882466674,0.0816857793839894,1.75382419506031e-06,2.00349039074861e-141	HAG	HAG	0.3
0__F001008	0__F036378	0,2.38904731676317e-05,0.970557799311895,0.0294181716090915,1.38605845811598e-07,4.36653240028572e-180	HAG	HAG	0.3
0__F036377	0__F036391	0.99825509327165,4.43728438812371e-17,0.001744906725457,2.89288601759418e-12,6.08114705304971e-26,0	PC	PC	0.3
0__F036377	0__F036378	0,1.28669949084325e-06,0.809067712488744,0.190913672263451,1.73285483143538e-05,1.76186325401811e-107	HAG	HAG	0.3
0__F001008	0__F036377	1.69718711206133e-163,0.999997428086969,2.57191303116753e-06,9.74242086903937e-24,5.91997002353064e-40,0	FS	FS	0.3
0__F036376	0__F036391	0,6.20948050833067e-06,0.893849010034638,0.106141314370677,3.4661141768771e-06,3.03621957519353e-131	HAG	HAG	0.3
0__F036376	0__F036378	0,3.05144205606483e-05,0.980243413981946,0.0197260185454381,5.30520557693641e-08,4.92465414937809e-195	HAG	HAG	0.3
0__F001008	0__F036376	1.55814504774344e-104,0.999999993339224,6.66077607133353e-09,7.9276335496813e-33,8.48078022965404e-54,0	FS	FS	0.3
0__F036376	0__F036377	8.01431939974102e-137,0.999999999999969,3.09683444418645e-14,7.81539516935135e-50,1.74350647669238e-85,0	FS	FS	0.3
0__F036391	0__F036448	0,1.11472486862678e-18,0.0689002031715165,0.817322144461676,0.112183604046145,0.00159404832066204	CGH	CGH	0.3
0__F036378	0__F036448	0,8.26868431477147e-13,0.22262760586029,0.770801985303737,0.00657040883514627,5.97773999254394e-26	CGH	CGH	0.3
0__F001008	0__F036448	0.999486569462696,1.55107201549723e-18,0.000513430536901272,4.02472980005683e-13,4.18720048004244e-27,0	PC	PC	0.3
0__F036377	0__F036448	0,1.05468426887912e-06,0.798674353764257,0.201304393630766,2.0197920708466e-05,3.08702308502163e-105	HAG	HAG	0.3
0__F036376	0__F036448	0,1.92700884797358e-07,0.712873161279869,0.287067219382208,5.94266370379506e-05,1.59802671626199e-89	HAG	HAG	0.3
0__F036375	0__F036391	0,4.38212644381138e-06,0.874642071163545,0.125348151189672,5.39552034002801e-06,1.13554599617088e-124	HAG	HAG	0.3
0__F036375	0__F036378	0.998753852796261,2.96419604601937e-17,0.00124614720209044,1.64883609611747e-12,3.64680232691879e-26,0	PC	PC	0.3
0__F001008	0__F036375	1.97133803111862e-46,0.999999999774262,2.25737743234241e-10,1.62384809028683e-39,5.57046112912818e-63,0	FS	FS	0.3
0__F036375	0__F036377	1.32220296270814e-120,0.999999999999928,7.22699722832916e-14,9.16077322016219e-49,1.05429976790838e-82,0	FS	FS	0.3
0__F036375	0__F036376	4.8056003446804e-30,1,4.08947338189871e-30,1.43509239829959e-102,3.19898764259619e-175,0	FS	FS	0.3
0__F036375	0__F036448	0,2.23055025928638e-06,0.838177310133314,0.161809609838289,1.08494781381286e-05,2.34590492166259e-114	HAG	HAG	0.3
