id7	id12	6286842	7191472	1.88728	5
id4	id19	6286842	7191472	1.88728	5
id4	id7	6286842	7191472	1.88728	5
id3	id13	6286842	7191472	1.88728	5
id12	id19	6286842	7191472	1.88728	5
id3	id4	6286842	7191472	1.88728	5
id3	id12	6286842	7191472	1.88728	5
id13	id16	38141	7191472	17.6543	5
id5	id13	38141	7191472	17.6543	5
id5	id12	38141	7191472	17.6543	5
id12	id16	38141	7191472	17.6543	5
id13	id19	6286842	7191472	1.88728	5
id7	id13	6286842	7191472	1.88728	5
id4	id16	38141	7191472	17.6543	5
id16	id19	6286842	10448979	7.81946	5
id5	id19	6286842	10448979	7.81946	5
id5	id7	6286842	10448979	7.81946	5
id3	id16	6286842	10448979	7.81946	5
id3	id5	6286842	10448979	7.81946	5
id7	id16	6286842	10448979	7.81946	5
id8	id9	38141	14767393	29.5836	5
id1	id9	38141	14767393	29.5836	5
id3	id19	38141	17758993	34.1542	5
id9	id19	15353923	17758993	3.79485	5
id2	id19	38141	17758993	34.1542	5
id13	id16	10451042	21854041	13.7867	5
id5	id13	10451042	21854041	13.7867	5
id5	id12	10451042	21854041	13.7867	5
id4	id16	10451042	21854041	13.7867	5
id12	id16	10451042	21854041	13.7867	5
id7	id12	22567105	31970247	10.6611	5
id4	id7	22567105	31970247	10.6611	5
id3	id13	22567105	31970247	10.6611	5
id3	id4	22567105	31970247	10.6611	5
id3	id12	22567105	31970247	10.6611	5
id9	id13	22567105	31970247	10.6611	5
id4	id9	22567105	31970247	10.6611	5
id9	id12	22567105	31970247	10.6611	5
id7	id13	22567105	31970247	10.6611	5
id9	id16	32491814	33662911	1.84504	5
id5	id7	32491814	33662911	1.84504	5
id3	id16	32491814	33662911	1.84504	5
id3	id5	32491814	33662911	1.84504	5
id5	id9	32491814	33662911	1.84504	5
id7	id16	32491814	33662911	1.84504	5
id2	id12	38141	34737885	52.8927	5
id12	id15	34737898	38473111	4.64827	5
id1	id12	34737898	38473111	4.64827	5
id12	id17	34737898	38473111	4.64827	5
id5	id13	34053516	40994417	7.7759	5
id5	id12	34053516	40994417	7.7759	5
id4	id16	34053516	40994417	7.7759	5
id13	id16	34053516	40994417	7.7759	5
id12	id16	38898345	40994417	1.32207	5
id19	id20	10451042	44381596	37.1372	5
id6	id20	38141	44381596	60.7245	5
id2	id12	38898345	44381596	2.32904	5
id8	id20	38141	44381596	60.7245	5
id1	id17	38141	45571997	60.873	5
id11	id17	38141	45571997	60.873	5
id4	id17	38141	45571997	60.873	5
id1	id8	38141	55758850	64.8501	5
id8	id20	55782237	57108461	2.3221	5
id13	id20	45671565	57108461	6.29927	5
id4	id20	45671565	57108461	6.29927	5
id2	id20	45671565	57108461	6.29927	5
id4	id7	42336000	57108461	7.04164	5
id2	id7	38141	57108461	67.173	5
id7	id9	15353923	57108461	36.8137	5
id9	id20	45671565	57108461	6.29927	5
