Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related
full.genome_network8	1	Missing1	NA	F012221	F012221	6
full.genome_network9	1	Missing1	NA	F012221	F012221	8
full.genome_network10	1	F036345	NA	F012221	F012221	9
full.genome_network11	1	all	NA	F012221	all	UN
full.genome_network12	1	Missing1	NA	F012221	F012221	8
full.genome_network13	1	Missing1	NA	F012221	F012221	8
full.genome_network1	1	Missing1	NA	F012633	F012633	8
full.genome_network2	1	all	NA	F012633	all	UN
full.genome_network3	1	all	NA	F012633	all	UN
full.genome_network4	1	Missing4	NA	F012633	F012633	8
full.genome_network5	1	all	NA	F012633	all	UN
full.genome_network6	1	all	NA	F012633	all	UN
full.genome_network7	1	Missing2	NA	F012633	F012633	8
full.genome_network8	1	Missing1	NA	F012633	F012633	8
full.genome_network9	1	all	NA	F012633	all	UN
full.genome_network10	1	Missing1	NA	F012633	F012633	8
full.genome_network11	1	Missing4	NA	F012633	F012633	7
full.genome_network12	1	all	NA	F012633	all	UN
full.genome_network13	1	all	NA	F012633	all	UN
full.genome_network1	1	Missing1	NA	F012768	F012768	4
full.genome_network2	1	Missing3	NA	F012768	F012768	2
full.genome_network3	2	F024110	NA	F012768	F012768	3
full.genome_network4	2	F024140	NA	F012768	F012768	3
full.genome_network5	2	F036273	NA	F012768	F012768	8
full.genome_network6	1	Missing1	NA	F012768	F012768	8
full.genome_network7	1	Missing2	NA	F012768	F012768	8
full.genome_network8	1	all	NA	F012768	all	UN
full.genome_network9	1	Missing1	NA	F012768	F012768	8
full.genome_network10	1	F036345	NA	F012768	F012768	8
full.genome_network11	1	Missing4	NA	F012768	F012768	8
full.genome_network12	1	all	NA	F012768	all	UN
full.genome_network13	1	all	NA	F012768	all	UN
full.genome_network1	1	Missing1	NA	F012769	F012769	7
full.genome_network2	1	Missing3	NA	F012769	F012769	4
full.genome_network3	2	F024110	NA	F012769	F012769	4
full.genome_network4	2	F024140	NA	F012769	F012769	4
full.genome_network5	1	all	NA	F012769	all	UN
full.genome_network6	1	Missing1	NA	F012769	F012769	8
full.genome_network7	2	Missing4	NA	F012769	F012769	8
full.genome_network8	1	all	NA	F012769	all	UN
full.genome_network9	1	Missing1	NA	F012769	F012769	8
full.genome_network10	1	all	NA	F012769	all	UN
full.genome_network11	1	Missing6	NA	F012769	F012769	8
full.genome_network12	1	all	NA	F012769	all	UN
full.genome_network13	1	all	NA	F012769	all	UN
full.genome_network1	1	Missing1	NA	F012773	F012773	5
full.genome_network2	1	Missing3	NA	F012773	F012773	2
full.genome_network3	2	F024110	NA	F012773	F012773	3
full.genome_network4	2	F024140	NA	F012773	F012773	3
full.genome_network5	2	F036273	NA	F012773	F012773	8
full.genome_network6	1	all	NA	F012773	all	UN
full.genome_network7	1	all	NA	F012773	all	UN
full.genome_network8	1	all	NA	F012773	all	UN
full.genome_network9	1	Missing1	NA	F012773	F012773	8
full.genome_network10	1	all	NA	F012773	all	UN
full.genome_network11	1	Missing1	NA	F012773	F012773	8
full.genome_network12	1	all	NA	F012773	all	UN
full.genome_network13	1	all	NA	F012773	all	UN
full.genome_network1	1	all	NA	F013247	all	UN
full.genome_network2	1	Missing3	NA	F013247	F013247	7
full.genome_network3	1	Missing4	NA	F013247	F013247	7
full.genome_network4	2	Missing2	NA	F013247	F013247	8
full.genome_network5	2	F036273	NA	F013247	F013247	5
full.genome_network6	1	Missing1	NA	F013247	F013247	6
full.genome_network7	1	all	NA	F013247	all	UN
full.genome_network8	1	Missing1	NA	F013247	F013247	8
full.genome_network9	1	all	NA	F013247	all	UN
full.genome_network10	1	all	NA	F013247	all	UN
full.genome_network11	1	Missing1	NA	F013247	F013247	7
full.genome_network12	1	all	NA	F013247	all	UN
full.genome_network13	1	Missing1	NA	F013247	F013247	8
full.genome_network1	1	all	NA	F014983	all	UN
full.genome_network2	1	all	NA	F014983	all	UN
full.genome_network3	1	Missing4	NA	F014983	F014983	7
full.genome_network4	2	Missing2	NA	F014983	F014983	8
full.genome_network5	1	F036279	NA	F014983	F014983	8
full.genome_network6	1	Missing1	NA	F014983	F014983	8
full.genome_network7	2	Missing4	NA	F014983	F014983	8
full.genome_network8	1	all	NA	F014983	all	UN
full.genome_network9	1	Missing1	NA	F014983	F014983	8
full.genome_network10	1	all	NA	F014983	all	UN
full.genome_network11	1	all	NA	F014983	all	UN
full.genome_network12	1	all	NA	F014983	all	UN
full.genome_network13	1	all	NA	F014983	all	UN
full.genome_network1	1	all	NA	F015023	all	UN
full.genome_network2	1	all	NA	F015023	all	UN
full.genome_network3	1	Missing4	NA	F015023	F015023	8
full.genome_network4	1	all	NA	F015023	all	UN
full.genome_network5	2	F036273	NA	F015023	F015023	8
full.genome_network6	1	Missing1	NA	F015023	F015023	8
full.genome_network7	1	Missing2	NA	F015023	F015023	7
full.genome_network8	1	Missing1	NA	F015023	F015023	8
full.genome_network9	1	all	NA	F015023	all	UN
full.genome_network10	1	F036345	NA	F015023	F015023	8
full.genome_network11	1	Missing1	NA	F015023	F015023	7
full.genome_network12	1	all	NA	F015023	all	UN
full.genome_network13	1	all	NA	F015023	all	UN
full.genome_network1	1	all	NA	F015351	all	UN
full.genome_network2	1	all	NA	F015351	all	UN
full.genome_network3	1	Missing4	NA	F015351	F015351	7
full.genome_network4	1	all	NA	F015351	all	UN
full.genome_network5	1	Missing2	NA	F015351	F015351	8
full.genome_network6	1	Missing1	NA	F015351	F015351	8
full.genome_network7	2	Missing4	NA	F015351	F015351	8
full.genome_network8	1	Missing1	NA	F015351	F015351	8
full.genome_network9	1	all	NA	F015351	all	UN
full.genome_network10	1	all	NA	F015351	all	UN
full.genome_network11	1	all	NA	F015351	all	UN
full.genome_network12	1	all	NA	F015351	all	UN
full.genome_network13	1	all	NA	F015351	all	UN
full.genome_network1	1	Missing1	NA	F015919	F015919	8
full.genome_network2	1	all	NA	F015919	all	UN
full.genome_network3	1	Missing4	NA	F015919	F015919	7
full.genome_network4	1	all	NA	F015919	all	UN
full.genome_network5	2	Missing4	NA	F015919	F015919	8
full.genome_network6	1	all	NA	F015919	all	UN
full.genome_network7	1	Missing2	NA	F015919	F015919	8
full.genome_network8	1	Missing1	NA	F015919	F015919	8
full.genome_network9	1	all	NA	F015919	all	UN
full.genome_network10	1	F036345	NA	F015919	F015919	8
full.genome_network11	1	Missing4	NA	F015919	F015919	8
full.genome_network12	1	all	NA	F015919	all	UN
full.genome_network13	1	all	NA	F015919	all	UN
full.genome_network1	1	all	NA	F015947	all	UN
full.genome_network2	1	all	NA	F015947	all	UN
full.genome_network3	1	all	NA	F015947	all	UN
full.genome_network4	1	all	NA	F015947	all	UN
full.genome_network5	1	all	NA	F015947	all	UN
full.genome_network6	1	Missing1	NA	F015947	F015947	7
full.genome_network7	1	all	NA	F015947	all	UN
full.genome_network8	1	all	NA	F015947	all	UN
full.genome_network9	1	all	NA	F015947	all	UN
full.genome_network10	1	F036345	NA	F015947	F015947	8
full.genome_network11	1	all	NA	F015947	all	UN
full.genome_network12	1	Missing1	NA	F015947	F015947	8
full.genome_network13	1	all	NA	F015947	all	UN
full.genome_network1	1	all	NA	F016014	all	UN
full.genome_network2	1	all	NA	F016014	all	UN
full.genome_network3	1	Missing4	NA	F016014	F016014	6
full.genome_network4	1	all	NA	F016014	all	UN
full.genome_network5	1	all	NA	F016014	all	UN
full.genome_network6	1	Missing1	NA	F016014	F016014	7
full.genome_network7	1	all	NA	F016014	all	UN
full.genome_network8	1	Missing1	NA	F016014	F016014	6
full.genome_network9	1	all	NA	F016014	all	UN
full.genome_network10	1	F036345	NA	F016014	F016014	8
full.genome_network11	1	all	NA	F016014	all	UN
full.genome_network12	1	Missing1	NA	F016014	F016014	8
full.genome_network13	1	all	NA	F016014	all	UN
full.genome_network1	1	all	NA	F016389	all	UN
full.genome_network2	1	F021340	NA	F016389	F016389	8
full.genome_network3	1	all	NA	F016389	all	UN
full.genome_network4	2	Missing2	NA	F016389	F016389	7
full.genome_network5	1	all	NA	F016389	all	UN
full.genome_network6	1	Missing1	NA	F016389	F016389	7
full.genome_network7	1	all	NA	F016389	all	UN
full.genome_network8	1	all	NA	F016389	all	UN
full.genome_network9	1	all	NA	F016389	all	UN
full.genome_network10	1	F036345	NA	F016389	F016389	8
full.genome_network11	1	Missing12	NA	F016389	F016389	8
full.genome_network12	1	all	NA	F016389	all	UN
full.genome_network13	1	all	NA	F016389	all	UN
full.genome_network1	1	all	NA	F016624	all	UN
full.genome_network2	1	Missing3	NA	F016624	F016624	7
full.genome_network3	1	Missing4	NA	F016624	F016624	6
full.genome_network4	2	Missing2	NA	F016624	F016624	8
full.genome_network5	1	all	NA	F016624	all	UN
full.genome_network6	1	Missing1	NA	F016624	F016624	6
full.genome_network7	1	Missing2	NA	F016624	F016624	7
full.genome_network8	1	all	NA	F016624	all	UN
full.genome_network9	1	all	NA	F016624	all	UN
full.genome_network10	1	F036345	NA	F016624	F016624	8
full.genome_network11	1	Missing12	NA	F016624	F016624	8
full.genome_network12	1	Missing1	NA	F016624	F016624	8
full.genome_network13	1	all	NA	F016624	all	UN
full.genome_network1	1	all	NA	F016735	all	UN
full.genome_network2	1	F021340	NA	F016735	F016735	8
full.genome_network3	1	all	NA	F016735	all	UN
full.genome_network4	1	all	NA	F016735	all	UN
full.genome_network5	2	F036273	NA	F016735	F016735	7
full.genome_network6	1	Missing1	NA	F016735	F016735	5
full.genome_network7	1	all	NA	F016735	all	UN
full.genome_network8	1	Missing1	NA	F016735	F016735	8
full.genome_network9	1	all	NA	F016735	all	UN
full.genome_network10	1	F036345	NA	F016735	F016735	7
full.genome_network11	1	all	NA	F016735	all	UN
full.genome_network12	1	all	NA	F016735	all	UN
full.genome_network13	1	all	NA	F016735	all	UN
full.genome_network1	1	Missing1	NA	F017825	F017825	8
full.genome_network2	1	F021340	NA	F017825	F017825	9
full.genome_network3	1	all	NA	F017825	all	UN
full.genome_network4	1	Missing4	NA	F017825	F017825	8
full.genome_network5	1	Missing2	NA	F017825	F017825	8
full.genome_network6	1	Missing1	NA	F017825	F017825	8
full.genome_network7	1	Missing2	NA	F017825	F017825	8
full.genome_network8	1	Missing1	NA	F017825	F017825	8
full.genome_network9	1	all	NA	F017825	all	UN
full.genome_network10	1	all	NA	F017825	all	UN
full.genome_network11	1	Missing4	NA	F017825	F017825	8
full.genome_network12	1	all	NA	F017825	all	UN
full.genome_network13	1	all	NA	F017825	all	UN
full.genome_network1	1	all	NA	F017947	all	UN
full.genome_network2	1	all	NA	F017947	all	UN
full.genome_network3	1	all	NA	F017947	all	UN
full.genome_network4	1	all	NA	F017947	all	UN
full.genome_network5	1	F036279	NA	F017947	F017947	8
full.genome_network6	1	Missing1	NA	F017947	F017947	8
full.genome_network7	1	all	NA	F017947	all	UN
full.genome_network8	1	all	NA	F017947	all	UN
full.genome_network9	1	all	NA	F017947	all	UN
full.genome_network10	1	F036345	NA	F017947	F017947	8
full.genome_network11	1	Missing12	NA	F017947	F017947	8
full.genome_network12	1	all	NA	F017947	all	UN
full.genome_network13	1	Missing1	NA	F017947	F017947	8
full.genome_network1	1	all	NA	F018180	all	UN
full.genome_network2	1	all	NA	F018180	all	UN
full.genome_network3	1	Missing4	NA	F018180	F018180	7
full.genome_network4	1	all	NA	F018180	all	UN
full.genome_network5	2	Missing4	NA	F018180	F018180	8
full.genome_network6	1	Missing1	NA	F018180	F018180	8
full.genome_network7	1	F036314	NA	F018180	F018180	8
full.genome_network8	1	Missing1	NA	F018180	F018180	6
full.genome_network9	1	all	NA	F018180	all	UN
full.genome_network10	1	F036345	NA	F018180	F018180	8
full.genome_network11	1	Missing4	NA	F018180	F018180	7
full.genome_network12	1	all	NA	F018180	all	UN
full.genome_network13	1	all	NA	F018180	all	UN
full.genome_network1	1	all	NA	F018268	all	UN
full.genome_network2	1	Missing3	NA	F018268	F018268	8
full.genome_network3	1	Missing4	NA	F018268	F018268	7
full.genome_network4	1	all	NA	F018268	all	UN
full.genome_network5	2	Missing4	NA	F018268	F018268	7
full.genome_network6	1	all	NA	F018268	all	UN
full.genome_network7	1	Missing2	NA	F018268	F018268	8
full.genome_network8	1	all	NA	F018268	all	UN
full.genome_network9	1	all	NA	F018268	all	UN
full.genome_network10	1	F036345	NA	F018268	F018268	8
full.genome_network11	1	all	NA	F018268	all	UN
full.genome_network12	1	Missing1	NA	F018268	F018268	8
full.genome_network13	1	all	NA	F018268	all	UN
full.genome_network1	1	all	NA	F018295	all	UN
full.genome_network2	1	Missing3	NA	F018295	F018295	7
full.genome_network3	1	all	NA	F018295	all	UN
full.genome_network4	1	all	NA	F018295	all	UN
full.genome_network5	1	all	NA	F018295	all	UN
full.genome_network6	1	Missing1	NA	F018295	F018295	8
full.genome_network7	1	all	NA	F018295	all	UN
full.genome_network8	1	all	NA	F018295	all	UN
full.genome_network9	1	Missing1	NA	F018295	F018295	8
full.genome_network10	1	F036345	NA	F018295	F018295	8
full.genome_network11	1	Missing6	NA	F018295	F018295	8
full.genome_network12	1	all	NA	F018295	all	UN
full.genome_network13	1	all	NA	F018295	all	UN
full.genome_network1	1	all	NA	F021970	all	UN
full.genome_network2	1	all	NA	F021970	all	UN
full.genome_network3	1	Missing4	NA	F021970	F021970	8
full.genome_network4	2	Missing2	NA	F021970	F021970	8
full.genome_network5	1	all	NA	F021970	all	UN
full.genome_network6	1	Missing1	NA	F021970	F021970	8
full.genome_network7	1	Missing2	NA	F021970	F021970	7
full.genome_network8	1	Missing1	NA	F021970	F021970	8
full.genome_network9	1	Missing1	NA	F021970	F021970	8
full.genome_network10	1	all	NA	F021970	all	UN
full.genome_network11	1	Missing1	NA	F021970	F021970	7
full.genome_network12	1	all	NA	F021970	all	UN
full.genome_network13	1	all	NA	F021970	all	UN
full.genome_network1	1	all	NA	F022845	all	UN
full.genome_network2	1	all	NA	F022845	all	UN
full.genome_network3	1	all	NA	F022845	all	UN
full.genome_network4	1	all	NA	F022845	all	UN
full.genome_network5	1	Missing2	NA	F022845	F022845	8
full.genome_network6	1	all	NA	F022845	all	UN
full.genome_network7	2	Missing4	NA	F022845	F022845	8
full.genome_network8	1	all	NA	F022845	all	UN
full.genome_network9	1	all	NA	F022845	all	UN
full.genome_network10	1	all	NA	F022845	all	UN
full.genome_network11	1	Missing12	NA	F022845	F022845	8
full.genome_network12	1	all	NA	F022845	all	UN
full.genome_network13	1	all	NA	F022845	all	UN
full.genome_network1	1	Missing1	NA	F023022	F023022	7
full.genome_network2	1	all	NA	F023022	all	UN
full.genome_network3	1	Missing4	NA	F023022	F023022	8
full.genome_network4	1	all	NA	F023022	all	UN
full.genome_network5	2	Missing4	NA	F023022	F023022	7
full.genome_network6	1	Missing1	NA	F023022	F023022	7
full.genome_network7	1	F036314	NA	F023022	F023022	8
full.genome_network8	1	Missing1	NA	F023022	F023022	8
full.genome_network9	1	Missing1	NA	F023022	F023022	8
full.genome_network10	1	F036345	NA	F023022	F023022	9
full.genome_network11	1	Missing4	NA	F023022	F023022	7
full.genome_network12	1	Missing1	NA	F023022	F023022	8
full.genome_network13	1	all	NA	F023022	all	UN
full.genome_network1	1	Missing1	NA	F023030	F023030	8
full.genome_network2	1	Missing3	NA	F023030	F023030	7
full.genome_network3	1	Missing4	NA	F023030	F023030	8
full.genome_network4	1	all	NA	F023030	all	UN
full.genome_network5	2	F036273	NA	F023030	F023030	7
full.genome_network6	1	Missing1	NA	F023030	F023030	7
full.genome_network7	1	all	NA	F023030	all	UN
full.genome_network8	1	Missing1	NA	F023030	F023030	8
full.genome_network9	1	Missing1	NA	F023030	F023030	7
full.genome_network10	1	F036345	NA	F023030	F023030	7
full.genome_network11	1	Missing1	NA	F023030	F023030	7
full.genome_network12	1	Missing1	NA	F023030	F023030	8
full.genome_network13	1	all	NA	F023030	all	UN
full.genome_network1	1	all	NA	F023031	all	UN
full.genome_network2	1	F021340	NA	F023031	F023031	8
full.genome_network3	1	all	NA	F023031	all	UN
full.genome_network4	1	all	NA	F023031	all	UN
full.genome_network5	2	F036273	NA	F023031	F023031	5
full.genome_network6	1	Missing1	NA	F023031	F023031	5
full.genome_network7	1	all	NA	F023031	all	UN
full.genome_network8	1	Missing1	NA	F023031	F023031	7
full.genome_network9	1	Missing1	NA	F023031	F023031	8
full.genome_network10	1	F036345	NA	F023031	F023031	6
full.genome_network11	1	Missing12	NA	F023031	F023031	8
full.genome_network12	1	all	NA	F023031	all	UN
full.genome_network13	1	Missing1	NA	F023031	F023031	8
full.genome_network1	1	Missing1	NA	F023036	F023036	8
full.genome_network2	1	F021340	NA	F023036	F023036	9
full.genome_network3	1	all	NA	F023036	all	UN
full.genome_network4	1	all	NA	F023036	all	UN
full.genome_network5	1	Missing2	NA	F023036	F023036	6
full.genome_network6	1	Missing1	NA	F023036	F023036	6
full.genome_network7	1	all	NA	F023036	all	UN
full.genome_network8	1	Missing1	NA	F023036	F023036	7
full.genome_network9	1	Missing1	NA	F023036	F023036	7
full.genome_network10	1	F036345	NA	F023036	F023036	7
full.genome_network11	1	Missing4	NA	F023036	F023036	7
full.genome_network12	1	Missing1	NA	F023036	F023036	8
full.genome_network13	1	all	NA	F023036	all	UN
full.genome_network1	1	all	NA	F023056	all	UN
full.genome_network2	1	Missing8	NA	F023056	F023056	8
full.genome_network3	1	Missing4	NA	F023056	F023056	7
full.genome_network4	2	Missing2	NA	F023056	F023056	8
full.genome_network5	1	Missing2	NA	F023056	F023056	8
full.genome_network6	1	Missing1	NA	F023056	F023056	8
full.genome_network7	2	Missing4	NA	F023056	F023056	7
full.genome_network8	1	Missing1	NA	F023056	F023056	7
full.genome_network9	1	all	NA	F023056	all	UN
full.genome_network10	1	F036345	NA	F023056	F023056	8
full.genome_network11	1	Missing4	NA	F023056	F023056	8
full.genome_network12	1	Missing1	NA	F023056	F023056	8
full.genome_network13	1	all	NA	F023056	all	UN
full.genome_network1	1	all	NA	F023067	all	UN
full.genome_network2	1	Missing8	NA	F023067	F023067	8
full.genome_network3	1	Missing4	NA	F023067	F023067	7
full.genome_network4	1	all	NA	F023067	all	UN
full.genome_network5	1	Missing2	NA	F023067	F023067	7
full.genome_network6	1	Missing1	NA	F023067	F023067	7
full.genome_network7	1	all	NA	F023067	all	UN
full.genome_network8	1	Missing1	NA	F023067	F023067	7
full.genome_network9	1	Missing1	NA	F023067	F023067	7
full.genome_network10	1	F036345	NA	F023067	F023067	8
full.genome_network11	1	all	NA	F023067	all	UN
full.genome_network12	1	all	NA	F023067	all	UN
full.genome_network13	1	all	NA	F023067	all	UN
full.genome_network1	1	all	NA	F023119	all	UN
full.genome_network2	1	F021340	NA	F023119	F023119	8
full.genome_network3	1	all	NA	F023119	all	UN
full.genome_network4	1	Missing4	NA	F023119	F023119	7
full.genome_network5	2	F036273	NA	F023119	F023119	7
full.genome_network6	1	Missing1	NA	F023119	F023119	8
full.genome_network7	1	all	NA	F023119	all	UN
full.genome_network8	1	Missing1	NA	F023119	F023119	8
full.genome_network9	1	all	NA	F023119	all	UN
full.genome_network10	1	Missing1	NA	F023119	F023119	8
full.genome_network11	1	Missing4	NA	F023119	F023119	8
full.genome_network12	1	Missing1	NA	F023119	F023119	8
full.genome_network13	1	all	NA	F023119	all	UN
full.genome_network1	1	all	NA	F023329	all	UN
full.genome_network2	1	Missing8	NA	F023329	F023329	7
full.genome_network3	1	Missing4	NA	F023329	F023329	7
full.genome_network4	1	all	NA	F023329	all	UN
full.genome_network5	1	F036279	NA	F023329	F023329	8
full.genome_network6	1	Missing1	NA	F023329	F023329	7
full.genome_network7	1	Missing2	NA	F023329	F023329	7
full.genome_network8	1	Missing1	NA	F023329	F023329	7
full.genome_network9	1	Missing1	NA	F023329	F023329	7
full.genome_network10	1	F036345	NA	F023329	F023329	8
full.genome_network11	1	Missing1	NA	F023329	F023329	7
full.genome_network12	1	all	NA	F023329	all	UN
full.genome_network13	1	all	NA	F023329	all	UN
full.genome_network1	1	Missing1	NA	F024109	F024109	4
full.genome_network2	1	Missing3	NA	F024109	F024109	2
full.genome_network3	2	F024110	NA	F024109	F024109	5
full.genome_network4	2	F024140	NA	F024109	F024109	5
full.genome_network5	2	Missing4	NA	F024109	F024109	8
full.genome_network6	1	all	NA	F024109	all	UN
full.genome_network7	1	all	NA	F024109	all	UN
full.genome_network8	1	Missing1	NA	F024109	F024109	7
full.genome_network9	1	all	NA	F024109	all	UN
full.genome_network10	1	F036345	NA	F024109	F024109	8
full.genome_network11	1	Missing12	NA	F024109	F024109	8
full.genome_network12	1	Missing1	NA	F024109	F024109	8
full.genome_network13	1	Missing1	NA	F024109	F024109	8
full.genome_network1	1	Missing1	NA	F024115	F024115	5
full.genome_network2	1	Missing3	NA	F024115	F024115	3
full.genome_network3	2	F024110	NA	F024115	F024115	4
full.genome_network4	2	F024140	NA	F024115	F024115	4
full.genome_network5	2	Missing4	NA	F024115	F024115	8
full.genome_network6	1	Missing1	NA	F024115	F024115	8
full.genome_network7	1	F036314	NA	F024115	F024115	8
full.genome_network8	1	Missing1	NA	F024115	F024115	8
full.genome_network9	1	all	NA	F024115	all	UN
full.genome_network10	1	all	NA	F024115	all	UN
full.genome_network11	1	Missing12	NA	F024115	F024115	7
full.genome_network12	1	all	NA	F024115	all	UN
full.genome_network13	1	all	NA	F024115	all	UN
full.genome_network1	1	Missing1	NA	F024118	F024118	5
full.genome_network2	1	Missing3	NA	F024118	F024118	2
full.genome_network3	2	F024110	NA	F024118	F024118	3
full.genome_network4	2	F024140	NA	F024118	F024118	3
full.genome_network5	1	all	NA	F024118	all	UN
full.genome_network6	1	all	NA	F024118	all	UN
full.genome_network7	2	Missing4	NA	F024118	F024118	7
full.genome_network8	1	Missing1	NA	F024118	F024118	8
full.genome_network9	1	Missing1	NA	F024118	F024118	8
full.genome_network10	1	all	NA	F024118	all	UN
full.genome_network11	1	Missing12	NA	F024118	F024118	7
full.genome_network12	1	all	NA	F024118	all	UN
full.genome_network13	1	all	NA	F024118	all	UN
full.genome_network1	1	Missing1	NA	F024126	F024126	6
full.genome_network2	1	Missing3	NA	F024126	F024126	3
full.genome_network3	2	F024110	NA	F024126	F024126	4
full.genome_network4	2	F024140	NA	F024126	F024126	4
full.genome_network5	1	F036279	NA	F024126	F024126	8
full.genome_network6	1	Missing1	NA	F024126	F024126	8
full.genome_network7	1	all	NA	F024126	all	UN
full.genome_network8	1	all	NA	F024126	all	UN
full.genome_network9	1	Missing1	NA	F024126	F024126	8
full.genome_network10	1	F036345	NA	F024126	F024126	8
full.genome_network11	1	Missing12	NA	F024126	F024126	8
full.genome_network12	1	all	NA	F024126	all	UN
full.genome_network13	1	all	NA	F024126	all	UN
full.genome_network1	1	Missing1	NA	F024127	F024127	5
full.genome_network2	1	Missing3	NA	F024127	F024127	3
full.genome_network3	2	F024110	NA	F024127	F024127	4
full.genome_network4	2	F024140	NA	F024127	F024127	4
full.genome_network5	2	Missing4	NA	F024127	F024127	7
full.genome_network6	1	Missing1	NA	F024127	F024127	8
full.genome_network7	1	all	NA	F024127	all	UN
full.genome_network8	1	all	NA	F024127	all	UN
full.genome_network9	1	all	NA	F024127	all	UN
full.genome_network10	1	all	NA	F024127	all	UN
full.genome_network11	1	all	NA	F024127	all	UN
full.genome_network12	1	Missing1	NA	F024127	F024127	8
full.genome_network13	1	all	NA	F024127	all	UN
full.genome_network1	1	all	NA	F024305	all	UN
full.genome_network2	1	Missing3	NA	F024305	F024305	7
full.genome_network3	1	Missing4	NA	F024305	F024305	8
full.genome_network4	1	all	NA	F024305	all	UN
full.genome_network5	2	Missing4	NA	F024305	F024305	8
full.genome_network6	1	Missing1	NA	F024305	F024305	8
full.genome_network7	2	F036313	NA	F024305	F024305	5
full.genome_network8	1	Missing1	NA	F024305	F024305	8
full.genome_network9	1	Missing1	NA	F024305	F024305	8
full.genome_network10	1	all	NA	F024305	all	UN
full.genome_network11	1	Missing1	NA	F024305	F024305	5
full.genome_network12	1	Missing1	NA	F024305	F024305	3
full.genome_network13	1	Missing1	NA	F024305	F024305	6
full.genome_network1	1	all	NA	F024436	all	UN
full.genome_network2	1	all	NA	F024436	all	UN
full.genome_network3	1	Missing4	NA	F024436	F024436	8
full.genome_network4	1	all	NA	F024436	all	UN
full.genome_network5	1	Missing2	NA	F024436	F024436	8
full.genome_network6	1	all	NA	F024436	all	UN
full.genome_network7	1	all	NA	F024436	all	UN
full.genome_network8	1	Missing1	NA	F024436	F024436	8
full.genome_network9	1	Missing1	NA	F024436	F024436	8
full.genome_network10	1	F036345	NA	F024436	F024436	9
full.genome_network11	1	Missing12	NA	F024436	F024436	8
full.genome_network12	1	Missing1	NA	F024436	F024436	8
full.genome_network13	1	all	NA	F024436	all	UN
full.genome_network1	1	all	NA	F024460	all	UN
full.genome_network2	1	all	NA	F024460	all	UN
full.genome_network3	1	Missing4	NA	F024460	F024460	7
full.genome_network4	1	all	NA	F024460	all	UN
full.genome_network5	2	Missing4	NA	F024460	F024460	8
full.genome_network6	1	all	NA	F024460	all	UN
full.genome_network7	1	all	NA	F024460	all	UN
full.genome_network8	1	Missing1	NA	F024460	F024460	7
full.genome_network9	1	Missing1	NA	F024460	F024460	8
full.genome_network10	1	Missing1	NA	F024460	F024460	8
full.genome_network11	1	Missing6	NA	F024460	F024460	7
full.genome_network12	1	all	NA	F024460	all	UN
full.genome_network13	1	all	NA	F024460	all	UN
full.genome_network1	1	all	NA	F024466	all	UN
full.genome_network2	1	Missing8	NA	F024466	F024466	8
full.genome_network3	1	Missing4	NA	F024466	F024466	8
full.genome_network4	1	all	NA	F024466	all	UN
full.genome_network5	2	F036273	NA	F024466	F024466	8
full.genome_network6	1	Missing1	NA	F024466	F024466	6
full.genome_network7	1	all	NA	F024466	all	UN
full.genome_network8	1	Missing1	NA	F024466	F024466	7
full.genome_network9	1	Missing1	NA	F024466	F024466	7
full.genome_network10	1	F036345	NA	F024466	F024466	6
full.genome_network11	1	Missing4	NA	F024466	F024466	8
full.genome_network12	1	all	NA	F024466	all	UN
full.genome_network13	1	Missing1	NA	F024466	F024466	7
full.genome_network1	1	all	NA	F024972	all	UN
full.genome_network2	1	F021340	NA	F024972	F024972	8
full.genome_network3	1	all	NA	F024972	all	UN
full.genome_network4	1	all	NA	F024972	all	UN
full.genome_network5	2	F036273	NA	F024972	F024972	8
full.genome_network6	1	all	NA	F024972	all	UN
full.genome_network7	1	Missing2	NA	F024972	F024972	7
full.genome_network8	1	Missing1	NA	F024972	F024972	8
full.genome_network9	1	all	NA	F024972	all	UN
full.genome_network10	1	all	NA	F024972	all	UN
full.genome_network11	1	all	NA	F024972	all	UN
full.genome_network12	1	all	NA	F024972	all	UN
full.genome_network13	1	all	NA	F024972	all	UN
full.genome_network1	1	all	NA	F028455	all	UN
full.genome_network2	1	Missing8	NA	F028455	F028455	8
full.genome_network3	1	all	NA	F028455	all	UN
full.genome_network4	1	all	NA	F028455	all	UN
full.genome_network5	2	F036273	NA	F028455	F028455	8
full.genome_network6	1	Missing1	NA	F028455	F028455	8
full.genome_network7	1	Missing2	NA	F028455	F028455	8
full.genome_network8	1	Missing1	NA	F028455	F028455	7
full.genome_network9	1	Missing1	NA	F028455	F028455	7
full.genome_network10	1	F036345	NA	F028455	F028455	8
full.genome_network11	1	Missing1	NA	F028455	F028455	7
full.genome_network12	1	all	NA	F028455	all	UN
full.genome_network13	1	Missing1	NA	F028455	F028455	8
full.genome_network1	1	all	NA	F028973	all	UN
full.genome_network2	1	Missing3	NA	F028973	F028973	7
full.genome_network3	1	all	NA	F028973	all	UN
full.genome_network4	1	all	NA	F028973	all	UN
full.genome_network5	1	all	NA	F028973	all	UN
full.genome_network6	1	Missing1	NA	F028973	F028973	8
full.genome_network7	2	Missing4	NA	F028973	F028973	8
full.genome_network8	1	all	NA	F028973	all	UN
full.genome_network9	1	all	NA	F028973	all	UN
